UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;OKRUG;RAYON;ZAKAZ;AREA_SQM;X;Y;LAT;LON
2;ПКиО Красная Пресня;ПКиО Красная Пресня;ПКиО Красная Пресня;4180280.08639999990;7509597.30040000010;0;;;;;ЦАО;Пресненский;Департамент культуры города Москвы;0.00000000000;4180280.08639999990;7509597.30040000010;55.75399106312124;37.552094935135926
3;"ПКиО ""Таганский"" (Детский парк)";"ПКиО ""Таганский"" (Детский парк)";"ПКиО ""Таганский"" (Детский парк)";4193175.44719999980;7506348.88439999990;0;;;;;ЦАО;Таганский;Департамент культуры города Москвы;0.00000000000;4193175.44719999980;7506348.88439999990;55.737566065899706;37.66793593214468
4;Дмитровское ш., д.80;Дмитровское ш., д.80;Дмитровское ш., д.80;4180271.73810000020;7531599.69410000000;0;;;;;САО;Бескудниковский;Префектура;800.00000000000;4180271.73810000020;7531599.69410000000;55.86506005712788;37.55201994108106
5;"Парк-Усадьба ""Михалково""";"Парк-Усадьба ""Михалково""";"Парк-Усадьба ""Михалково""";4176616.67370000020;7527136.25569999960;0;;;;;САО;Головинский;Префектура;800.00000000000;4176616.67370000020;7527136.25569999960;55.84255405677214;37.51918593893145
6;"парк ""Северные Дубки"" Керамический пр-д, д.71";"парк ""Северные Дубки"" Керамический пр-д, д.71";"парк ""Северные Дубки"" Керамический пр-д, д.71";4181715.44059999990;7536350.36560000010;0;;;;;САО;Восточное Дегунино;Префектура;800.00000000000;4181715.44059999990;7536350.36560000010;55.88900005576049;37.56498894129577
7;Парк по Ангарской улице;Парк по Ангарской улице;Парк по Ангарской улице;4177453.79650000020;7534299.51800000020;0;;;;;САО;Дмитровский;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;1800.00000000000;4177453.79650000020;7534299.51800000020;55.878667056197536;37.5267059409907
8;ул. Талдомская, вл.2;ул. Талдомская, вл.2;ул. Талдомская, вл.2;4177033.89940000000;7532500.58849999960;0;;;;;САО;Западное Дегунино;Префектура;1800.00000000000;4177033.89940000000;7532500.58849999960;55.86960105711393;37.52293394116383
9;"Парк ""Бригантина"" Коптевский бульвар";"Парк ""Бригантина"" Коптевский бульвар";"Парк ""Бригантина"" Коптевский бульвар";4177179.50490000010;7524998.66370000040;0;;;;;САО;Коптево;Префектура;800.00000000000;4177179.50490000010;7524998.66370000040;55.831771057803216;37.52424193762484
10;пр.Черепановых,68;пр.Черепановых,68;пр.Черепановых,68;4180328.95610000010;7527692.80510000050;0;;;;;САО;Коптево;Префектура;800.00000000000;4180328.95610000010;7527692.80510000050;55.84536105777106;37.55253393912033
11;парк Северного речного вокзала;парк Северного речного вокзала;парк Северного речного вокзала;4171246.17640000020;7528684.85869999970;0;;;;;САО;Левобережный;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4171246.17640000020;7528684.85869999970;55.85036405607776;37.47094194085232
12;ул. Фестивальная,д.4;ул. Фестивальная,д.4;ул. Фестивальная,д.4;4172885.68990000010;7529643.32430000040;0;;;;;САО;Левобережный;Префектура;1800.00000000000;4172885.68990000010;7529643.32430000040;55.855197056048524;37.48566994120803
13;Посёлок Новоподрезково, 3-я Подрезковая д.14;Посёлок Новоподрезково, 3-я Подрезковая д.14;Посёлок Новоподрезково, 3-я Подрезковая д.14;4158500.31800000000;7546465.11959999990;0;;;;;САО;Молжаниновский;Префектура;1800.00000000000;4158500.31800000000;7546465.11959999990;55.93992204921408;37.35644394675289
14;парк Дубки, ул.Немчинова,12;парк Дубки, ул.Немчинова,12;парк Дубки, ул.Немчинова,12;4181871.51019999990;7522945.08810000030;0;;;;;САО;Тимирязевский;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4181871.51019999990;7522945.08810000030;55.82140905978287;37.56639093836644
15;ул. Онежская,д.53,к.1;ул. Онежская,д.53,к.1;ул. Онежская,д.53,к.1;4175219.72560000000;7530510.07199999970;0;;;;;САО;Ховрино;Префектура;800.00000000000;4175219.72560000000;7530510.07199999970;55.859567056998;37.50663694063793
